SMILES
CCCCCCc(ccc(O)c1)c1O
CC(C)([C@H]1C([O-])=O)S[C@@H]([C@H]2/N=C/N3CCCCCC3)N1C2=O
NCCc1ccn[nH]1
C[C@@H](C[C@@H](C)[C@H]([C@@H](C)/C=C\C=C/C=C\C=C/C=C\C=C/C=C\[C@@H](C[C@@H]([C@@H]([C@H](C1)O)C([O-])=O)O[C@@]1(C[C@H](C[C@H](C[C@H](CC(CCCC(C1)=O)=O)O)O)O)O)O[C@@H]([C@H]([C@H]2N)O)O[C@H](C)[C@H]2O)OC1=O)[C@@H](CC(c(cc1)ccc1N)=O)O
C[C@H]([C@@H](C(NCC(N[C@@H](Cc1c[nH]c2c1cccc2)C(N[C@@H](CCSC)C(N[C@@H](CC([O-])=O)C(N[C@@H](Cc1ccccc1)C(N)=O)=O)=O)=O)=O)=O)NC([C@H](Cc(cc1)ccc1OS(O)(=O)=O)NC([C@H](CC([O-])=O)NC([C@H](CCC(N)=O)NC([C@H](CC1)NC1=O)=O)=O)=O)=O)O
CCCCCCCCCCCCCCCC(OC[C@H]([C@@H](c(cc1)ccc1[N+]([O-])=O)O)NC(C(Cl)Cl)=O)=O
CC(C)(Cc(cc1)ccc1Cl)N
Oc(c1ncccc1c(Cl)c1)c1I
CC1(C)N=C(N)N=C(N)N1c(cc1)ccc1Cl
C[C@H]([C@H]([C@H](C1)O)O[C@@H](C[C@@H]2O)O[C@H](C)[C@H]2O[C@@H](C[C@@H]2O)O[C@H](C)[C@H]2O[C@@H]([C@@H]([C@H]2O)O)O[C@H](CO)[C@H]2O)O[C@H]1O[C@@H](CC1)C[C@@H](CC2)[C@@]1(C)[C@@H](C[C@H]([C@]1(C)[C@H](CC3)C(CO4)=CC4=O)O)[C@@H]2[C@]13O
C[C@@](CC1)([C@H](CC2)[C@@H](CC3)[C@@H]1[C@](C)(CC1)C3=CC1=O)[C@@H]2C(CO)=O
CC(C)(C)C(OCC([C@H](CC1)[C@](C)(CC2)[C@H]1[C@@H](CC1)[C@@H]2[C@](C)(CC2)C1=CC2=O)=O)=O
C[C@](CCCCC[C@H]1C2)([C@H]1N)c1c2ccc(O)c1
CC(C)NCC(COc(ccc(NC(C)=O)c1)c1C(C)=O)O
CCCCOc1nc2ccccc2c(C(NCCN(CC)CC)=O)c1
C[C@H](CC[C@H]1[C@H]2C)[C@H](CC3)[C@]11OO[C@@]3(C)O[C@H]1O[C@@H]2O
OS(CCSSCCS(O)(=O)=O)(=O)=O
CN(CC1)CCC1OC(c1ccccc1)c1ccccc1
CCC(O[C@@H](CC1)[C@@](C)(CC2)[C@@H]1[C@H](CC1)[C@H]2[C@@](C)(C[C@H]2C)[C@@H]1CC2=O)=O
C[C@](CC[C@H]1[C@]2(C)CC3)([C@@H](CC4)[C@@H]1C=CC2=CC3=O)[C@H]4C(C)=O
NC(N(c1c(CC2O)cccc1)c1c2cccc1)=O
C[C@](CC1)([C@@H](CC2)[C@H](CC3)[C@H]1c(cc1)c3cc1OC(N(CCCl)CCCl)=O)[C@H]2O
CCN(CC)C(C)CN1c(cccc2)c2Sc2c1cccc2
Nc1c2ncn([C@H]([C@@H]3O)O[C@@H](CO)[C@@H]3O)c2nc(F)n1
C[C@H](C[C@@H]([C@H](C[C@@H](C([C@]1(C)C=C2)=CC2=O)F)[C@@]11F)[C@]2(C)C[C@@H]1O)[C@@]2(C(COC(C(C)(C)C)=O)=O)O
[O-]C([C@@H](C[C@@H](C1)C2CCCCC2)N1C(C[P@@](CCCCc1ccccc1)(O)=O)=O)=O
CC(C)c1cccc(C(C)C)c1OCOP([O-])([O-])=O
CCN(CC)CCOc1cccc(OCCN(CC)CC)c1OCCN(CC)CC
C[C@@H](C[C@@H]([C@H](C[C@@H](C([C@]1(C)C=C2)=CC2=O)F)[C@@]11F)[C@]2(C)C[C@@H]1O)[C@@]2(C(CCl)=O)O
C[N+](C)(CCCCCC[N+](C)(C)C1c(cccc2)c2-c2c1cccc2)C1c(cccc2)c2-c2c1cccc2
CC(CNC1CCCCC1)OC(c1ccccc1)=O
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC([O-])=O
C[C@@H]([C@@](Cn1ncnc1)(c(cc(cc1)F)c1F)O)c1nc(-c(cc2)ccc2C#N)cs1
CC(C)CC(B(O)O)NC(CNC(c(cc(cc1)Cl)c1Cl)=O)=O
CN(C)c(cc1)cc2c1Nc(ccc(N(C)C)c1)c1S2
