ID,smiles
57,CC1=C(OC2=CC=CC=C12)C(=O)OC(C)CCN(C)C.Cl
58,CC1=CC2=C(C=C1)NC(=O)C(=C2)C(C3=NN=NN3C(C)(C)C)N(CC4CCCO4)CC5=CC=CO5
59,CC1CCN(CC1)S(=O)(=O)C2=CC=C(C=C2)NC(=O)CN3N=C(N=N3)C4=CC=CC=C4F
60,COC1=CC=CC(=C1)C2=NN3C(=C2)N=C(C=C3N4CCC5(CC4)OCCO5)C6=CC=CC=C6
61,CC(C)(C)NCC1(C(=O)N=C(S1)N)CO.O.OS(=O)(=O)O
62,CCOC1=C(C=C(C=C1)CSC2=NCCN2)Cl.Cl
63,CCN(CC1=CC=CC=C1)C(C2=CC=CS2)C3=NN=NN3C4CCCCC4
64,CCCN1C2=C(CCCC2)C(=C(C1=O)C(=O)NC3=CC=C(C=C3)OC)O
65,CCOC1=CC(=C(C=C1N2C=NN=N2)OCC)S(=O)(=O)N3CCC(CC3)CC4=CC=CC=C4
66,CCOC1=CC(=C(C=C1)OCC)NC(=O)CN2CCN(CC2)C3=C(C=C(C=C3)C)C.Cl
67,C1CN(CCN1C2=CC=CC=C2)C(C3=CN=CC=C3)C4=NN=NN4CC5=CC=CC=C5
68,C1CC2=CC=CC=C2N(C3=CC=CC=C31)C(=O)CSC4=NN=C(O4)COC5=CC=C(C=C5)F
69,CC1=C(C=CC(=C1)S(=O)(=O)N(CC2=CC(=C(C=C2)OC)OC)CC3=CN=CC=C3)N4C=NN=N4
70,C1C(=O)N(C2=CC=CC=C2O1)CC(=O)N(CC3=CC(=CC=C3)F)CC4=CN=CC=C4
71,C1CCN(C1)C2=NC(=NC3=CC=CC=C32)NC4=CC=C(C=C4)O.Cl
72,C1CCN(CC1)C2=CC(=C(C=C2)N)N3CCCCC3
73,C1COCCN1CCCN(C2=NC(=CS2)C3=CC=C(C=C3)F)C(=O)C4=CC=CO4.Cl
74,CC1(CC2=C(CO1)C(=NC(=C2C#N)SCC3=CC=C(C=C3)OC)N4CCOCC4)C
75,CC1=C2C(=CC=C1)C=C(C(=O)N2)CN(CC3=CC=CS3)CC4=NN=NN4CC5=CC=CC=C5
76,C1CN(CCN1CCC(=O)NC2=CC(=CC=C2)Cl)CC3=CC=CC=C3
77,C1CN(CCN1CCN2CCOCC2)C3=CC(=NC4=CC(=NN43)C5=CC=C(C=C5)F)C6=CC=CC=C6
78,COC1=CC(=CC(=C1)C2=NN3C(=C2)N=C4CCCCC4=C3N5CCN(CC5)C6=NC=CC=N6)OC
79,CC(C)(C)N1C(=NN=N1)C(C2=C(C=CC(=C2)OC)OC)N3CCC4=CC=CC=C4C3.Cl
80,CCC(C1=NN=NN1CS(=O)(=O)C2=CC=C(C=C2)C)N3CCN(CC3)C4=NC5=CC=CC=C5S4
81,CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OCCOC
82,C1CCC(CC1)C(CC2CCCCN2)C3CCCCC3.C(=C\C(=O)O)\C(=O)O
83,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC.Cl
84,CN1C2=C(C=C1C3=CC=CC=C3)C4=NO[N+](=C4C=C2)[O-]
85,C1CCN(CC1)C2=C(C3=C(CN(CC3)CC4=CC=CC=C4)C(=N2)N5CCCCC5)C#N
86,C1CCC(CC1)N2CCC3=C(C2)C(=NC(=C3C#N)N4CCOCC4)N5CCCCC5
87,CCOC(=O)NC1=CC2=C(C=C1)SC3=CC=CC=C3N2C(=O)CN4CCN(CC4)C.Cl
88,CC(C)(C)C(C(N1C=NC=N1)OC2=CC=C(C=C2)Cl)O
89,CC1(CC2=C(CN1C)C(=NC(=C2C#N)SCC3=CC=CC=C3)N4CCOCC4)C
90,C1=CSC(=C1)C(=O)C2=NO[N+](=C2C(=O)C3=CC=CS3)[O-]
91,COC(=O)C1=CC=C(O1)C2=C(C3=C(S2)N=C(C4=C3CCCC4)N5CCOCC5)N
92,CN1C2=C(C(=O)NC1=O)N(C(=N2)Br)CCCSC3=NC4=CC=CC=C4O3
93,CCCCN1C2=CC=CC=C2N(C1=N)CC(=O)C(C)(C)C.Br
94,CC1=CC(=C(C=C1CN2C=CN=C2)C)CN3C=CN=C3
95,CN1CCN(CC1)CC(=O)C23CC4CC(C2)CC(C4)C3.Cl
96,CCN1CCC2=C(C1)C(=NC(=C2C#N)NCC3=CC=CC=C3)N(CC)CC
97,CN1CCC2=C(C1)C(=NC(=C2C#N)N3CCCCC3)NCC4=CC=CC=C4
98,C1=CC2=C(C=CN=C2C(=C1)O)CO
99,COC(=O)C1=C(C2=CC=CC=C2N1)NC(=O)CN3CCCC4=CC=CC=C43
100,CC1=NN(C(=O)C2=CC=CC=C12)CC(=O)N
101,CC1(CC2=C(CO1)C(=NC(=C2C#N)SCCOC3=CC=CC=C3)N4CCOCC4)C
102,CCN1C2=CC=CC=C2N(C1=N)CC(=O)C34CC5CC(C3)CC(C5)C4.Br
103,CC1=CC2=C(C=C1)NC(=C2NC(=O)CN3CCCC4=CC=CC=C43)C(=O)OC
104,C1COCCN1CC(C2=CC=CC=C2)C(=O)C3=CC=C(C=C3)F.Cl
105,CN(CC1=CC=CC=C1)CC2=CNC3=CC=CC=C32
106,C1CCN(CC1)CCN2C(=C(C3=NC4=CC=CC=C4N=C32)C(=O)NCC5=CC=CO5)N
107,COC1=CC=CC=C1C(=O)NC(=NC2=NC3=CC=CC=C3O2)NC(=O)C4=CC=CC=C4OC
108,C1=CC=C2C(=C1)C3=C(C4=C(C=CC=N4)C=C3)NS2(=O)=O
109,CCOC1=C(C=C(C=C1)S(=O)(=O)NC(C)(C)C)C2=NC3=C(C(=O)N2)N(N=C3C(C)(C)C)C
110,CCCC1=C(C(=N)C2=CC=CC=C2N1C)CC.I
111,CCCCCCN1C2=C(CCC2)C(=N)C3=C1CCC3.Br
112,CC1=CC2=C(C=C1)N=C(O2)NC3=NC(=CC(=O)N3)COC
113,CCCC1=CC(=C(C=C1OC)O)C2=NC(=NC=C2C3=CC4=C(C=C3)OCCCO4)N
114,CN1CCN(CC1)/C=N/C2=C(C3=C(S2)CCCCC3)C#N
115,CC1=CC(=NC(=N1)C2=CC=CC=C2O)NC3=CC=CC(=C3)C(=O)OC
116,CCCOC1=CC=CC(=C1)CN2CCCCC2C3=CN=CC=C3.Cl
117,CCC(C(F)(F)F)(C(F)(F)F)NC(=O)NC1=NN=C(S1)C(F)(F)F
118,CC1=CC(=NC(=N1)NCC2=CC=CC=C2)N3CCN(CC3)C4=CC=CC=C4
119,CC1=CC(=NC(=N1)C2=CC=CC=C2O)NC3=CC(=CC=C3)F
120,CC1CCCCN1C2=NC(=NC3=CC=CC=C32)C4=CC=NC=C4
121,CC(C)CCCN(CC1=CC=CO1)C2=NC(=NC(=N2)N3CCOCC3)N4CCOCC4
122,C1=CSC(=C1)C2=C(C(=NC(=C2C#N)SCC3=CC=NC=C3)N)C#N
123,CC1=CC(=C2C=C(C=CC2=N1)OC)NC3=CC=C(C=C3)N4CCOCC4.Cl
124,C=CCOC(=O)C(C#N)C1=NC2=CC=CC=C2N=C1N3CCN(CC3)CC4=CC5=C(C=C4)OCO5
125,CC1=CC=C(C=C1)OCC(CN2C3=CC=CC=C3N(C2=N)CCN4CCCCC4)O.Cl
126,CN(C)CCCOC(=O)C1=C(C=C(C=C1)Cl)Cl.Cl
127,CCC(=O)NC1=CC=C(C=C1)C2=NN=C(O2)C3=CC=CC=C3
128,CN1C2=CC=CC=C2N=C1NC(=O)C3=CC=CC=C3NC(=O)C4=CC=CO4
129,CC1CC(NC2=C(C=CC=C12)C)C.Cl
130,CCN(CC)CCN1C(=O)CN2C(=C(C3=C2C1=CC=C3)C)C.C(C(C(=O)O)O)(C(=O)O)O
131,CC1CC(CN(C1)C2=NC(=NC3=CC=CC=C32)C4=C(C(=CC=C4)OC)O)C
132,CCOC(=O)C1=C(SC=C1C2=CC=CS2)NC(=O)C3=CC=NC=C3
133,CSC1=C(C(=NC(=N1)N)SCC(=O)C23CC4CC(C2)CC(C4)C3)C#N
134,CCOC(=O)NC1=CC2=C(C=C1)SC3=CC=CC=C3N2C(=O)CCN(C)C.Cl
135,CCOC(=O)C1=CN=C(N=C1NC2=CC=C(C=C2)N(C)C)N3C(=CC(=N3)C)C
136,C1CCC(CC1)OC(=O)C(C#N)C2=NC3=CC=CC=C3N=C2N4CCCCC4
137,CC(C)OCCCN1C2=C(C=C(C1=N)C(=S)N)C(=O)N3C=CC=CC3=N2
138,CCOC(=O)C1=CN=C(N=C1NCC2=CC3=C(C=C2)OCO3)N4C(=CC(=N4)C)C
139,CCOC(=O)C1=CN=C(N=C1NC2CCCCC2)N3C(=CC(=N3)C)C
140,CC1=CC=C(C=C1)C2CC(N3C(=NC(=N3)N)N2)C4=CC=C(C=C4)OC
141,CCCCCCOC(=O)C(C#N)C1=NC2=CC=CC=C2N=C1N3CCN(CC3)C
142,CC(C)CN1C(=C(C2=NC3=CC=CC=C3N=C21)C(=O)NCC4=CC=CS4)N
143,CCC(=NCCCN(CC)CC)C1=C(N(C(=O)NC1=O)C2CCCCC2)O
144,C1C(NC2=NC(=NN2C1C3=CC=CS3)N)C4=CC=C(C=C4)Br
145,COC1=CC=C(C=C1)CNC2=C(N=C(O2)COC3=CC=C(C=C3)Cl)C#N
146,C1CN(CCN1C2=NN=C(C3=CC=CC=C32)C4=CC=CC=C4)C(=O)COC5=CC=CC=C5
147,C1=CC=C2C(=C1)N=NN2C3=C(C=C(C(=C3)C#N)C#N)OC4=CC=CC5=C4N=CC=C5
148,CCOC(=O)C1=CN=C(N=C1NCC2=CC=CC=C2)N3C(=CC(=N3)C)C
149,C1=CC=C(C=C1)S(=O)(=O)C/C(=C/CO)/S(=O)(=O)C2=CC=CC=C2
150,CC1CN(CC(O1)C)C2=NC3=CC=CC=C3N=C2C(C#N)C(=O)OC4CCCCC4
151,CCCCN1C(=C(C(=O)NC1=O)C(=NCCCN(CC)CC)C)O
152,CCCCN1C(=C(C(=O)NC1=O)C(=NCCCN(C)C)CC)O
153,CCOC(=O)C1=CN=C(N=C1NC(C)C2=CC=CC=C2)N3C(=CC(=N3)C)C
154,CCC(C)NC(=O)C1=C(N(C2=NC3=CC=CC=C3N=C12)/N=C/C4=CC=CC=N4)N
