,ID,smiles,moleculas
35,35,CC1CCN(CC1)S(=O)(=O)C2=CC=C(C=C2)NC(=O)CN3CCN(CC3)C,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF798F40>
36,36,CC1=CC2=C(C=C1)OCC(=O)N2CC(=O)N3CCCCC3C4=CN=CC=C4,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF798FA0>
37,37,C1CCC(CC1)C(=O)N(CCN2CCCC2)C3=NC4=CC=CC=C4S3,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79B040>
38,38,CC(CN1CCN(CC1)C)OC(=O)C2=CC=C(C=C2)Cl.Cl,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79B0A0>
39,39,C1CN(CCN1C2=NC3=CC=CC=C3S2)C(C4=CN=CC=C4)C5=NN=NN5CCC6=CC=CC=C6,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79B100>
40,40,CC1=C(NC2=C1C=C(C=C2)C3=NN=C(O3)SCC(=O)N4CCCC5=CC=CC=C54)C,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79B160>
41,41,CN(C)CCCN(C1=NC(=CS1)C2=CC=C(C=C2)OC)C(=O)C3=CC=CS3.Cl,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79B1C0>
42,42,C1CCC(CC1)N2CCN(CC2)C(=O)C3=CC4=C(N3CC(=O)C5=CC=CC=C5)C=CS4,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79B220>
43,43,CCOC1=C(C=C(C=C1)CN2CCC(CC2)C(=O)N3CCN(CC3)C4=CC=CC=C4F)OC.C(=O)(C(=O)O)O,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79B280>
44,44,C1C(=O)N(C2=CC=CC=C2O1)CC(=O)N(CC3=CN=CC=C3)CC4=CC=CC=C4F,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79B2E0>
45,45,CCC(C)(C)N1C(=NN=N1)CN(CC2=CC=CS2)CC3=CC4=C(C=CC(=C4)OCC)NC3=O,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79B340>
46,46,CCCN1CCCC2=C1C=CC(=C2)CN.C(=O)(C(=O)O)O,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79B3A0>
47,47,C1CN(CCN1CC2=CC=CC=C2)CC3=C4C=CC=NC4=C(C=C3)O,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79B400>
48,48,C1CCN(C1)S(=O)(=O)C2=CC=C(C=C2)NC(=O)CSC3=NC4=CC=CC=C4C=C3C#N,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79B460>
49,49,C1=CC=C(C=C1)CCN2C(=NN=C2SCC3=CC=C(C=C3)C#N)C4=CC=NC=C4,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79B4C0>
50,50,CCOC(=O)CC1=CSC(=N1)NC(=O)CSC2=NN=C(N2C)C3=CC=C(C=C3)OC,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79B520>
51,51,C1=CC=C(C=C1)CN(C2=CC=C(C=C2)F)C(=O)CSC3=NN=C(O3)C4=CNC5=CC=CC=C54,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79B580>
52,52,C1C(NC2=CC(=NN2C1C(F)(F)F)C(=O)NCC3=CC=CO3)C4=CC(=C(C=C4)Cl)Cl,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79B5E0>
53,53,CC1CC2=CC=CC=C2N1C(=O)CSC3=NC4=C(N3CC5=CC=CC=C5)C(=O)N(C(=O)N4C)C,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79B640>
54,54,CCOC(=O)C1CCN(CC1)CC2=C3C=CC=NC3=C(C=C2)O,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79B6A0>
